"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,,,,,,"b1","LW",,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.13271,-0.0078942,0.64797,-0.43937,-0.082414,-0.19482,-0.29758,1.165,-0.27202,0.1854,-0.052167,-1.4933,0.59558,-0.0042834,0.21271,-0.15946,-0.014946,0.070247,-1.1874,-0.098582,0.78808,0.88087,2.0337,-1.8791,0.40114,-2.0077,-0.73688,0.06681,1,-1,0.069723,1.0177e-06,
,,0.12585,0.00061235,1.9541,0.068871,-0.46251,-1.0864,-0.26,-0.71274,-0.11043,-0.47229,-0.011372,-0.097683,0.10474,0.33153,0.28504,0.78834,-0.22531,-1.5464,-2.2813,0.97716,-1.5437,1.2267,0.69184,-2.223,0.40966,-2.1576,0.53622,0.10082,,,0.079255,0.00051169,
,,0.1259,0.006023,-2.2907,-0.29282,2.0525,0.23533,-0.50159,1.0792,1.9943,-1.4568,-1.2718,-0.36787,1.0461,0.13379,0.026246,-0.64257,0.17782,-1.0838,-1.466,0.72926,-1.0216,0.93767,0.3956,-2.1307,0.40486,-2.0488,0.40139,-0.078899,,,0.039872,7.7605e-05,
,,0.12311,0.0086705,-2.0349,-0.45784,1.0122,0.40239,2.5969,-0.28829,-0.55821,-0.82129,-1.6732,2.657,-0.6723,0.75431,-0.56573,-0.61493,0.34464,,,,,,,,,,,,,,,,
,,0.12253,0.014852,3.2634,-0.93739,-3.1112,-1.2409,0.13087,0.96407,0.41527,-1.1956,0.50379,1.2037,-0.010566,0.33437,-1.2236,0.38054,-0.50148,,,,,,,,,,,,,,,,
,,0.1246,0.015355,0.85962,0.8355,0.11515,-0.45336,-0.65068,-0.84373,-0.36379,0.62335,-1.0112,-0.61615,-0.23993,0.19435,1.3601,0.84945,-0.10376,,,,,,,,,,,,,,,,
,,0.12355,0.015566,-0.61208,-1.1382,-0.021249,0.89463,-0.094194,-0.3356,1.7155,0.63351,-1.4087,0.099407,0.098396,-0.38053,-0.96892,0.53659,-1.2224,,,,,,,,,,,,,,,,
,,0.10107,0.014197,-0.5743,-1.9977,-1.206,-0.6463,1.6313,1.8732,-0.093832,-0.18744,0.53079,-0.4062,2.1544,-0.18812,-1.6056,0.66234,-1.3597,,,,,,,,,,,,,,,,
,,0.10056,0.013378,1.5896,0.065844,-2.7372,0.97033,2.0052,-0.44951,-0.62326,-1.6245,-1.5315,2.8156,-0.91293,0.10121,2.8501,-0.89108,2.2221,,,,,,,,,,,,,,,,
,,0.10033,0.012662,-0.014966,0.4077,0.68713,0.82723,-0.21072,-1.2271,-1.1363,-0.97014,-0.083357,0.19744,-0.72348,1.5898,0.44593,0.73329,0.15326,,,,,,,,,,,,,,,,
,,0.10596,0.0089393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.1159,0.0066222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.11865,0.0063396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.14381,0.0018423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

