"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,"b1","LW",,,,,,,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.19877,-0.032254,-0.53312,12.9353,-7.8371,-5.3218,-2.0529,-0.16511,4.4726,-2.2235,2.0033,0.39619,0.7553,0.74146,5.2226,-0.058973,0.66963,-0.10347,-0.54663,-0.11379,7.4597,-1.5949,0.10469,0.70435,10.1546,5.4107,1.0139,-3.4736,1,-1,0.12145,-0.044242,
,,0.17514,-0.01734,-5.5535,10.948,0.43755,-4.5691,0.075295,0.46993,-0.5487,-0.29607,-1.84,-1.9614,3.4625,0.6334,5.3561,0.22254,3.3752,-0.12631,-0.50282,-0.25653,7.2925,-1.5406,-0.18884,0.58195,9.9881,5.4832,0.94535,-3.5801,,,0.115,-0.018061,
,,0.16509,-0.0093608,2.9046,-16.9881,8.8941,6.36,-7.4684,0.53879,2.4695,-0.012572,-1.1148,-3.6575,2.0118,0.36241,3.5864,0.15905,1.9715,-0.054668,-0.22265,-0.20708,4.7891,-1.0497,-0.12281,0.35236,6.2938,3.662,0.5498,-2.3508,,,0.061959,-0.014568,
,,0.16909,-0.0056026,-3.0998,-12.1592,-6.7295,27.9275,1.8756,-9.866,-1.506,6.3895,-1.5701,3.8666,,,,,,,,,,,,,,,,,,,,,
,,0.18235,0.0033689,0.84368,-13.4337,7.8087,5.9043,0.99532,0.98589,-4.6814,2.3323,-1.9987,-0.38289,,,,,,,,,,,,,,,,,,,,,
,,0.18844,0.0079449,6.692,-24.5681,8.1057,14.4574,4.3286,-4.7615,-2.5926,-0.26782,-0.87672,-3.8594,,,,,,,,,,,,,,,,,,,,,
,,0.16791,0.0073761,-1.4688,8.7021,-7.5838,1.0541,-0.81134,1.2878,-2.237,1.0417,0.10755,0.13129,,,,,,,,,,,,,,,,,,,,,
,,0.1159,0.0022398,-4.5537,3.6837,-14.0154,24.3039,-6.6695,-0.69606,-3.6619,-2.0669,3.4767,1.7855,,,,,,,,,,,,,,,,,,,,,
,,0.14381,0.00095987,-2.3666,-1.2948,5.1882,-1.6894,-2.0104,0.49599,0.64259,0.65032,-1.8128,-2.0935,,,,,,,,,,,,,,,,,,,,,
,,,,-0.77409,-3.2348,2.7171,1.4336,-4.127,2.0843,0.71238,1.2984,-2.7088,-2.0139,,,,,,,,,,,,,,,,,,,,,
,,,,7.6481,-22.7821,-8.9304,33.4575,-0.12772,-7.6598,-2.1036,1.1228,-0.14159,1.472,,,,,,,,,,,,,,,,,,,,,
,,,,3.5259,-6.5439,-3.9827,6.3973,1.8553,-3.0961,0.80315,-0.43489,2.5497,2.0497,,,,,,,,,,,,,,,,,,,,,
,,,,2.81,-0.72752,-3.9611,2.0794,1.1823,-0.11047,-0.34401,-0.52318,1.3731,2.1137,,,,,,,,,,,,,,,,,,,,,
,,,,-3.1319,17.4807,-8.8847,-6.9391,8.2199,-1.0949,-2.413,-0.073612,1.2201,3.6355,,,,,,,,,,,,,,,,,,,,,
,,,,-2.5183,6.505,-5.5044,1.698,-4.8374,4.4094,-1.1773,1.9443,-2.3245,-1.8027,,,,,,,,,,,,,,,,,,,,,

