"input_ymax","input_ymin","input_xmax","input_xmin","IW",,,,,,,,,"b1","LW",,,,,,,,,,"b2","output_ymax","output_ymin","output_xmax","output_xmin",
1,-1,0.19877,-0.032254,3.4724,0.17833,0.37379,-4.8411,-1.6771,4.8129,-1.2711,-2.7929,0.23576,-3.7123,-0.11574,-1.1337,0.67839,1.6065,-1.0466,1.8588,0.64645,-0.40323,-0.89483,-0.021129,-0.013304,1,-1,0.11009,1.7294e-05,
,,0.17514,-0.01734,0.013623,-0.34234,-0.8011,-0.52987,-0.047372,-0.083052,-0.23471,1.485,0.19822,0.77391,-2.3651,-0.22486,1.1031,3.877,-0.12849,4.3469,0.6961,-0.98851,-1.2715,-0.052335,-1.5123,,,0.096912,2.4416e-05,
,,0.16509,-0.0093608,4.144,-3.8586,-0.2222,-3.0148,-1.4067,2.4854,1.2884,1.3182,-1.069,1.0221,-2.2194,-0.090618,1.0487,4.5143,-0.45835,4.4163,0.65452,-0.8843,-1.5612,-0.067442,-1.3501,,,0.039954,2.0354e-06,
,,0.16909,-0.0056026,0.44734,0.6351,-1.0423,1.1665,-0.61052,0.95127,-1.007,-0.42724,-0.24948,-0.43479,,,,,,,,,,,,,,,,
,,0.18235,0.0033689,0.25849,0.36037,1.9501,-1.4058,-2.0611,3.0182,-0.38718,-0.563,-0.85788,-0.69242,,,,,,,,,,,,,,,,
,,0.18844,0.0079449,-0.79063,-0.90383,1.8509,-0.25674,0.59903,-1.519,0.67788,-0.1608,0.71531,0.16336,,,,,,,,,,,,,,,,
,,0.16791,0.0073761,0.95773,-2.9005,-0.014675,2.0597,-0.055477,0.4869,1.0615,-0.35532,-0.42182,0.57463,,,,,,,,,,,,,,,,
,,0.10319,0.0022398,-1.1318,-3.5141,3.4138,4.0879,3.8494,-4.9655,-0.44601,-1.4383,1.1417,0.84199,,,,,,,,,,,,,,,,
,,0.071739,0.00095987,3.0353,-5.15,-4.6874,12.2237,-3.2869,-1.2929,-1.2285,-1.2374,1.5789,0.98228,,,,,,,,,,,,,,,,
,,,,0.28895,-1.7564,-1.9468,-1.2799,0.22851,-0.54524,0.8144,-5.2306,4.1342,-1.5795,,,,,,,,,,,,,,,,

